Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
281,311,102,3,4.5,4,8.64,1
282,317,110,3,4,4.5,9.11,1
283,312,106,3,4,3.5,8.79,1
284,321,111,3,2.5,3,8.9,1
285,340,112,4,5,4.5,9.66,1
286,331,116,5,4,4,9.26,1
287,336,118,5,4.5,4,9.19,1
288,324,114,5,5,4.5,9.08,1
289,314,104,4,5,5,9.02,0
290,313,109,3,4,3.5,9,0
291,307,105,2,2.5,3,7.65,0
292,300,102,2,1.5,2,7.87,0
293,302,99,2,1,2,7.97,0
294,312,98,1,3.5,3,8.18,1
295,316,101,2,2.5,2,8.32,1
296,317,100,2,3,2.5,8.57,0
297,310,107,3,3.5,3.5,8.67,0
298,320,120,3,4,4.5,9.11,0
299,330,114,3,4.5,4.5,9.24,1
300,305,112,3,3,3.5,8.65,0
301,309,106,2,2.5,2.5,8,0
302,319,108,2,2.5,3,8.76,0
303,322,105,2,3,3,8.45,1
304,323,107,3,3.5,3.5,8.55,1
305,313,106,2,2.5,2,8.43,0
306,321,109,3,3.5,3.5,8.8,1
307,323,110,3,4,3.5,9.1,1
308,325,112,4,4,4,9,1
309,312,108,3,3.5,3,8.53,0
310,308,110,4,3.5,3,8.6,0
311,320,104,3,3,3.5,8.74,1
312,328,108,4,4.5,4,9.18,1
313,311,107,4,4.5,4.5,9,1
314,301,100,3,3.5,3,8.04,0
315,305,105,2,3,4,8.13,0
316,308,104,2,2.5,3,8.07,0
317,298,101,2,1.5,2,7.86,0
318,300,99,1,1,2.5,8.01,0
319,324,111,3,2.5,2,8.8,1
320,327,113,4,3.5,3,8.69,1
321,317,106,3,4,3.5,8.5,1
322,323,104,3,4,4,8.44,1
323,314,107,2,2.5,4,8.27,0
324,305,102,2,2,2.5,8.18,0
325,315,104,3,3,2.5,8.33,0
326,326,116,3,3.5,4,9.14,1
327,299,100,3,2,2,8.02,0
328,295,101,2,2.5,2,7.86,0
329,324,112,4,4,3.5,8.77,1
330,297,96,2,2.5,1.5,7.89,0
331,327,113,3,3.5,3,8.66,1
332,311,105,2,3,2,8.12,1
333,308,106,3,3.5,2.5,8.21,1
334,319,108,3,3,3.5,8.54,1
335,312,107,4,4.5,4,8.65,1
336,325,111,4,4,4.5,9.11,1
337,319,110,3,3,2.5,8.79,0
338,332,118,5,5,5,9.47,1
339,323,108,5,4,4,8.74,1
340,324,107,5,3.5,4,8.66,1
341,312,107,3,3,3,8.46,1
342,326,110,3,3.5,3.5,8.76,1
343,308,106,3,3,3,8.24,0
344,305,103,2,2.5,3.5,8.13,0
345,295,96,2,1.5,2,7.34,0
346,316,98,1,1.5,2,7.43,0
347,304,97,2,1.5,2,7.64,0
348,299,94,1,1,1,7.34,0
349,302,99,1,2,2,7.25,0
350,313,101,3,2.5,3,8.04,0
351,318,107,3,3,3.5,8.27,1
352,325,110,4,3.5,4,8.67,1
353,303,100,2,3,3.5,8.06,1
354,300,102,3,3.5,2.5,8.17,0
355,297,98,2,2.5,3,7.67,0
356,317,106,2,2,3.5,8.12,0
357,327,109,3,3.5,4,8.77,1
358,301,104,2,3.5,3.5,7.89,1
359,314,105,2,2.5,2,7.64,0
360,321,107,2,2,1.5,8.44,0
361,322,110,3,4,5,8.64,1
362,334,116,4,4,3.5,9.54,1
363,338,115,5,4.5,5,9.23,1
364,306,103,2,2.5,3,8.36,0
365,313,102,3,3.5,4,8.9,1
366,330,114,4,4.5,3,9.17,1
367,320,104,3,3.5,4.5,8.34,1
368,311,98,1,1,2.5,7.46,0
369,298,92,1,2,2,7.88,0
370,301,98,1,2,3,8.03,1
371,310,103,2,2.5,2.5,8.24,0
372,324,110,3,3.5,3,9.22,1
373,336,119,4,4.5,4,9.62,1
374,321,109,3,3,3,8.54,1
375,315,105,2,2,2.5,7.65,0
376,304,101,2,2,2.5,7.66,0
377,297,96,2,2.5,2,7.43,0
378,290,100,1,1.5,2,7.56,0
379,303,98,1,2,2.5,7.65,0
380,311,99,1,2.5,3,8.43,1
381,322,104,3,3.5,4,8.84,1
382,319,105,3,3,3.5,8.67,1
383,324,110,4,4.5,4,9.15,1
384,300,100,3,3,3.5,8.26,0
385,340,113,4,5,5,9.74,1
386,335,117,5,5,5,9.82,1
387,302,101,2,2.5,3.5,7.96,0
388,307,105,2,2,3.5,8.1,0
389,296,97,2,1.5,2,7.8,0
390,320,108,3,3.5,4,8.44,1
391,314,102,2,2,2.5,8.24,0
392,318,106,3,2,3,8.65,0
393,326,112,4,4,3.5,9.12,1
394,317,104,2,3,3,8.76,0
395,329,111,4,4.5,4,9.23,1
396,324,110,3,3.5,3.5,9.04,1
397,325,107,3,3,3.5,9.11,1
398,330,116,4,5,4.5,9.45,1
399,312,103,3,3.5,4,8.78,0
400,333,117,4,5,4,9.66,1
